id_venda,data_venda,cliente,produto,quantidade,preco_unitario,categoria
70,20-09-2025,João Souza,Notebook Dell,4,3500.0,Eletrônicos
71,2025/09/08,Ana Pereira,Caneta Azul,1,2.5,Papelaria
72,10-10-2025,João Souza,Mochila,3,150.0,Acessórios
73,26-01-2025,João Souza,Impressora HP,5,900.0,Eletrônicos
74,2025-07-05,,Impressora HP,1,900.0,Eletrônicos
75,2025/04/09,Maria Silva,Notebook Dell,1,3500.0,Eletrônicos
76,2025/08/01,João Souza,Caneta Azul,3,2.5,Papelaria
77,2025-06-17,Ana Pereira,Caneta Azul,1,2.5,Papelaria
78,2025/05/19,Pedro Costa,Mouse Gamer,5,200.0,Eletrônicos
79,2025-10-08,Fernanda Lima,Monitor LG,5,1200.0,Eletrônicos
80,06-03-2025,João Souza,Caderno,4,25.0,Papelaria
81,2025-05-25,Pedro Costa,Notebook Dell,1,3500.0,Eletrônicos
82,2025/01/10,,Impressora HP,2,900.0,Eletrônicos
83,2025-01-26,Maria Silva,Mouse Gamer,três,200.0,Eletrônicos
84,2025/03/06,Maria Silva,Mochila,2,150.0,Acessórios
85,15-04-2025,Ana Pereira,Notebook Dell,3,-3500.0,Eletrônicos
86,2025/12/14,,Mouse Gamer,3,200.0,Eletrônicos
87,2025/10/14,Maria Silva,Mochila,4,150.0,Acessórios
88,2025-07-12,,Garrafa Térmica,3,80.0,Utilidades
89,26-11-2025,Ana Pereira,iPhone 13,5,5500.0,Eletrônicos
90,22-08-2025,,Luminária,4,60.0,Utilidades
91,2025/12/13,Maria Silva,Caderno,4,25.0,Papelaria
92,2025/06/15,,iPhone 13,5,5500.0,Eletrônicos
93,28-12-2025,Fernanda Lima,Luminária,1,60.0,Utilidades
94,2025/08/22,João Souza,Notebook Dell,1,3500.0,Eletrônicos
95,11-11-2025,,iPhone 13,2,5500.0,Eletrônicos
96,22-03-2025,João Souza,Caneta Azul,2,2.5,Papelaria
97,13-02-2025,João Souza,Monitor LG,3,1200.0,Eletrônicos
98,2025/09/08,João Souza,Caderno,5,25.0,Papelaria
99,2025/07/05,Pedro Costa,Impressora HP,3,900.0,Eletrônicos
100,2025-04-17,João Souza,Caneta Azul,4,2.5,Papelaria
101,15-03-2025,Pedro Costa,Impressora HP,3,900.0,Eletrônicos
102,22-04-2025,Ana Pereira,iPhone 13,5,5500.0,
103,28-08-2025,Ana Pereira,Notebook Dell,2,3500.0,Eletrônicos
104,2025-06-22,Ana Pereira,Mouse Gamer,2,200.0,Eletrônicos
105,2025-07-07,,iPhone 13,4,5500.0,Eletrônicos
106,16-05-2025,,Caderno,3,25.0,Papelaria
107,04-12-2025,,Monitor LG,3,1200.0,Eletrônicos
108,2025/08/06,Pedro Costa,Garrafa Térmica,2,80.0,Utilidades
109,05-05-2025,Pedro Costa,iPhone 13,1,5500.0,Eletrônicos
110,22-11-2025,Fernanda Lima,Mouse Gamer,5,200.0,Eletrônicos
111,2025-09-10,João Souza,Impressora HP,4,900.0,Eletrônicos
112,2025/05/16,,Notebook Dell,3,3500.0,Eletrônicos
113,2025-06-18,João Souza,Mouse Gamer,2,200.0,Eletrônicos
114,04-07-2025,,Garrafa Térmica,4,80.0,Utilidades
115,2025/05/21,João Souza,Luminária,1,60.0,Utilidades
116,2025-07-18,,Mouse Gamer,4,200.0,Eletrônicos
117,2025-10-17,João Souza,Notebook Dell,5,3500.0,Eletrônicos
118,2025-01-17,Ana Pereira,Monitor LG,5,1200.0,Eletrônicos
119,18-07-2025,Maria Silva,Monitor LG,5,1200.0,Eletrônicos
120,21-05-2025,,Luminária,4,60.0,Utilidades
121,07-07-2025,,Luminária,2,60.0,Utilidades
122,2025/11/18,Fernanda Lima,Monitor LG,1,1200.0,Eletrônicos
123,2025/08/27,Fernanda Lima,Garrafa Térmica,4,-80.0,Utilidades
124,2025/09/15,João Souza,Mochila,3,150.0,Acessórios
125,2025-04-08,,Impressora HP,1,900.0,Eletrônicos
126,2025-09-06,João Souza,Mouse Gamer,3,200.0,Eletrônicos
127,2025-08-06,Ana Pereira,Garrafa Térmica,4,80.0,Utilidades
128,2025-01-13,,Luminária,4,60.0,Utilidades
129,19-03-2025,Maria Silva,Notebook Dell,3,3500.0,Eletrônicos
130,2025/11/17,João Souza,Luminária,4,60.0,Utilidades
131,2025-06-13,Fernanda Lima,iPhone 13,3,5500.0,Eletrônicos
132,26-04-2025,Pedro Costa,Notebook Dell,1,-3500.0,Eletrônicos
133,2025/02/11,Maria Silva,Mouse Gamer,5,200.0,Eletrônicos
134,2025/10/05,João Souza,Luminária,5,60.0,Utilidades
135,2025/12/07,Ana Pereira,Monitor LG,2,1200.0,Eletrônicos
136,06-03-2025,Maria Silva,Notebook Dell,4,3500.0,Eletrônicos
137,2025-03-09,,Mouse Gamer,1,200.0,Eletrônicos
138,2025-12-18,Pedro Costa,Caderno,3,25.0,Papelaria
139,2025-01-20,Maria Silva,Notebook Dell,4,3500.0,Eletrônicos
140,2025/11/01,Pedro Costa,Monitor LG,5,1200.0,Eletrônicos
141,2025-01-04,Pedro Costa,Luminária,3,60.0,Utilidades
142,2025/01/13,Maria Silva,iPhone 13,2,5500.0,Eletrônicos
143,2025-02-27,Ana Pereira,Notebook Dell,2,3500.0,Eletrônicos
144,19-10-2025,Maria Silva,Caneta Azul,2,2.5,Papelaria
145,02-02-2025,Fernanda Lima,Mouse Gamer,5,200.0,Eletrônicos
146,2025-11-21,,Mochila,3,150.0,Acessórios
147,10-01-2025,Pedro Costa,Monitor LG,5,1200.0,Eletrônicos
148,2025/12/28,Maria Silva,Garrafa Térmica,5,80.0,Utilidades
149,21-01-2025,Pedro Costa,Impressora HP,2,900.0,Eletrônicos
150,02-02-2025,,Monitor LG,4,1200.0,Eletrônicos
151,2025/02/16,Ana Pereira,Monitor LG,3,1200.0,Eletrônicos
152,2025-07-28,Ana Pereira,Mouse Gamer,5,200.0,Eletrônicos
153,2025/08/19,João Souza,Luminária,5,60.0,Utilidades
154,26-11-2025,João Souza,Mochila,5,150.0,Acessórios
155,2025/04/27,João Souza,Luminária,2,60.0,Utilidades
156,12-10-2025,Pedro Costa,Monitor LG,2,1200.0,
157,23-10-2025,,Mouse Gamer,5,200.0,Eletrônicos
158,2025-06-25,João Souza,Notebook Dell,2,3500.0,Eletrônicos
159,2025-05-27,Fernanda Lima,Caneta Azul,2,2.5,Papelaria
160,2025-04-07,Fernanda Lima,iPhone 13,1,5500.0,Eletrônicos
161,2025/11/23,Pedro Costa,Caderno,4,25.0,Papelaria
162,2025/12/28,Maria Silva,Garrafa Térmica,4,80.0,Utilidades
163,2025-12-10,,Mochila,1,150.0,Acessórios
164,25-04-2025,Ana Pereira,Mochila,2,150.0,Acessórios
165,07-08-2025,Maria Silva,Luminária,1,60.0,Utilidades
166,2025/01/22,Fernanda Lima,iPhone 13,4,5500.0,Eletrônicos
167,2025/01/27,Ana Pereira,Garrafa Térmica,5,80.0,Utilidades
168,2025/01/12,,Caneta Azul,3,2.5,Papelaria
169,2025-02-08,Maria Silva,iPhone 13,2,5500.0,Eletrônicos
170,2025/10/22,Fernanda Lima,Mochila,4,150.0,Acessórios
171,2025/06/10,,Luminária,5,60.0,Utilidades
172,05-09-2025,João Souza,Caderno,1,25.0,Papelaria
173,05-10-2025,João Souza,Notebook Dell,3,3500.0,Eletrônicos
174,13-05-2025,Fernanda Lima,Caneta Azul,3,2.5,Papelaria
175,2025-11-18,Pedro Costa,Mouse Gamer,4,200.0,Eletrônicos
176,12-11-2025,Fernanda Lima,Caneta Azul,5,2.5,Papelaria
177,2025/12/03,Fernanda Lima,Mouse Gamer,1,200.0,Eletrônicos
178,2025-02-08,João Souza,Mouse Gamer,3,200.0,Eletrônicos
179,2025-06-11,Pedro Costa,Caderno,1,25.0,Papelaria
180,2025/05/06,Pedro Costa,Mochila,4,150.0,Acessórios
181,10-08-2025,Maria Silva,Mochila,3,150.0,Acessórios
182,02-07-2025,Fernanda Lima,Mochila,5,150.0,Acessórios
183,2025-02-13,João Souza,Garrafa Térmica,4,80.0,Utilidades
184,2025/05/17,João Souza,Mochila,4,150.0,Acessórios
185,2025-11-22,João Souza,Impressora HP,2,900.0,Eletrônicos
186,01-09-2025,Pedro Costa,Monitor LG,1,1200.0,Eletrônicos
187,2025/02/11,,Luminária,3,60.0,Utilidades
188,18-12-2025,Ana Pereira,Monitor LG,três,1200.0,Eletrônicos
189,04-05-2025,Ana Pereira,Luminária,1,60.0,
190,2025-02-06,Ana Pereira,Caderno,4,25.0,Papelaria
191,2025/10/09,,Caneta Azul,4,2.5,Papelaria
192,2025-10-26,Maria Silva,Caderno,3,25.0,Papelaria
193,07-06-2025,Ana Pereira,Mochila,1,150.0,Acessórios
194,2025-10-04,,Luminária,3,60.0,Utilidades
195,2025-08-03,Fernanda Lima,Monitor LG,2,1200.0,Eletrônicos
196,2025/06/18,,Monitor LG,4,1200.0,Eletrônicos
197,21-08-2025,Ana Pereira,Garrafa Térmica,3,80.0,Utilidades
198,2025-11-19,João Souza,Caneta Azul,3,2.5,Papelaria
199,2025-04-09,Ana Pereira,Monitor LG,2,-1200.0,Eletrônicos
200,2025/11/05,João Souza,Monitor LG,5,1200.0,Eletrônicos
201,2025-02-09,Pedro Costa,Mochila,5,150.0,Acessórios
202,2025-12-16,Maria Silva,Impressora HP,1,900.0,Eletrônicos
203,2025-02-18,Maria Silva,Notebook Dell,4,3500.0,Eletrônicos
204,2025/06/11,Ana Pereira,Luminária,4,60.0,Utilidades
205,2025-06-26,Maria Silva,Garrafa Térmica,2,80.0,Utilidades
206,2025/08/18,,Luminária,5,60.0,Utilidades
207,2025-12-26,Fernanda Lima,Garrafa Térmica,1,80.0,Utilidades
208,2025-02-28,Pedro Costa,Mouse Gamer,2,200.0,Eletrônicos
209,2025-12-02,,Caneta Azul,2,2.5,Papelaria
210,05-12-2025,Ana Pereira,Luminária,2,60.0,Utilidades
211,2025-04-12,Ana Pereira,Luminária,5,60.0,Utilidades
212,03-10-2025,João Souza,Monitor LG,2,1200.0,Eletrônicos
213,2025/01/24,Maria Silva,Caneta Azul,2,2.5,Papelaria
214,02-09-2025,Pedro Costa,Impressora HP,5,900.0,Eletrônicos
215,2025/07/01,João Souza,Notebook Dell,3,3500.0,Eletrônicos
216,2025-07-15,Fernanda Lima,Mochila,1,150.0,Acessórios
217,2025/09/06,,Mouse Gamer,4,200.0,Eletrônicos
218,05-11-2025,Ana Pereira,Caderno,2,25.0,Papelaria
219,23-04-2025,Pedro Costa,Caderno,três,25.0,Papelaria
220,22-06-2025,Maria Silva,Impressora HP,3,900.0,Eletrônicos
221,2025-12-01,Maria Silva,Notebook Dell,4,3500.0,Eletrônicos
222,27-10-2025,Ana Pereira,Monitor LG,2,1200.0,Eletrônicos
223,2025/03/27,João Souza,Impressora HP,5,900.0,Eletrônicos
224,2025/06/19,Fernanda Lima,Luminária,4,60.0,Utilidades
225,2025-10-05,Ana Pereira,Luminária,1,60.0,Utilidades
226,2025-02-23,João Souza,Caneta Azul,2,2.5,Papelaria
227,2025/11/07,,Luminária,3,60.0,Utilidades
228,2025/07/18,João Souza,Caderno,1,25.0,Papelaria
229,12-03-2025,Fernanda Lima,Luminária,1,60.0,Utilidades
230,19-10-2025,Fernanda Lima,Impressora HP,3,900.0,Eletrônicos
231,2025/08/15,,iPhone 13,5,5500.0,Eletrônicos
232,2025/06/07,Ana Pereira,Garrafa Térmica,5,80.0,Utilidades
233,20-10-2025,,Mochila,3,150.0,Acessórios
234,03-08-2025,Ana Pereira,Monitor LG,4,1200.0,Eletrônicos
235,2025-10-04,Pedro Costa,iPhone 13,2,5500.0,Eletrônicos
236,2025-09-02,Maria Silva,Caderno,5,25.0,Papelaria
237,05-12-2025,Ana Pereira,Mochila,5,150.0,Acessórios
238,12-11-2025,,iPhone 13,3,5500.0,Eletrônicos
239,01-10-2025,Pedro Costa,Garrafa Térmica,5,80.0,Utilidades
240,2025-05-20,Ana Pereira,Mouse Gamer,5,200.0,Eletrônicos
241,2025-05-04,Fernanda Lima,Caderno,1,25.0,Papelaria
242,2025-02-15,Maria Silva,Impressora HP,2,900.0,
243,2025-07-22,João Souza,Notebook Dell,4,3500.0,Eletrônicos
244,2025-05-22,,Luminária,3,60.0,Utilidades
245,2025-08-02,Ana Pereira,iPhone 13,5,5500.0,Eletrônicos
246,2025/06/27,Ana Pereira,Caderno,2,25.0,Papelaria
247,25-04-2025,Pedro Costa,Mouse Gamer,1,200.0,Eletrônicos
248,2025/07/20,,Caneta Azul,3,2.5,Papelaria
249,2025-05-24,Pedro Costa,Mouse Gamer,1,200.0,Eletrônicos
250,2025-11-26,Fernanda Lima,Caderno,2,25.0,Papelaria
251,2025/12/02,Pedro Costa,Mochila,3,150.0,Acessórios
252,2025/11/04,Maria Silva,Impressora HP,3,900.0,Eletrônicos
253,2025-06-27,Ana Pereira,Mouse Gamer,1,200.0,Eletrônicos
254,2025-12-08,Pedro Costa,Mochila,1,150.0,Acessórios
255,03-08-2025,Fernanda Lima,Luminária,4,60.0,Utilidades
256,2025-04-02,Maria Silva,Garrafa Térmica,5,80.0,Utilidades
257,03-02-2025,Maria Silva,Caneta Azul,5,2.5,Papelaria
258,2025/02/11,Ana Pereira,iPhone 13,3,5500.0,Eletrônicos
259,2025/07/09,Fernanda Lima,Luminária,2,60.0,Utilidades
260,2025/06/07,Ana Pereira,Caderno,3,25.0,Papelaria
261,2025/05/10,Maria Silva,Impressora HP,2,900.0,Eletrônicos
262,12-10-2025,Ana Pereira,Garrafa Térmica,3,80.0,Utilidades
263,2025-10-18,João Souza,Monitor LG,4,1200.0,Eletrônicos
264,03-01-2025,,Mouse Gamer,4,200.0,Eletrônicos
265,13-06-2025,Ana Pereira,Caneta Azul,5,2.5,Papelaria
266,2025-06-07,Pedro Costa,Garrafa Térmica,3,80.0,Utilidades
267,2025-02-11,Maria Silva,Luminária,2,60.0,Utilidades
268,2025/07/15,Fernanda Lima,Garrafa Térmica,1,80.0,Utilidades
269,2025/05/10,Ana Pereira,Monitor LG,2,1200.0,Eletrônicos
270,2025/10/02,Pedro Costa,Notebook Dell,4,3500.0,Eletrônicos
271,2025/05/08,João Souza,Notebook Dell,5,3500.0,Eletrônicos
272,2025-12-03,,Garrafa Térmica,4,80.0,Utilidades
273,2025-03-13,Ana Pereira,Caneta Azul,5,2.5,Papelaria
274,2025/05/03,Maria Silva,Garrafa Térmica,3,80.0,Utilidades
275,2025-01-15,,Mochila,5,150.0,Acessórios
276,2025-08-02,Pedro Costa,Garrafa Térmica,3,80.0,Utilidades
277,2025-06-25,Fernanda Lima,Mouse Gamer,2,200.0,Eletrônicos
278,2025/10/01,Pedro Costa,iPhone 13,5,5500.0,Eletrônicos
279,2025/02/04,Fernanda Lima,Impressora HP,1,900.0,Eletrônicos
280,2025/12/06,Ana Pereira,iPhone 13,2,5500.0,Eletrônicos
281,2025/03/06,Pedro Costa,Impressora HP,1,900.0,Eletrônicos
282,2025/01/05,Maria Silva,Mochila,3,150.0,Acessórios
283,21-01-2025,Fernanda Lima,Mouse Gamer,3,200.0,Eletrônicos
284,10-11-2025,Ana Pereira,Caneta Azul,4,2.5,Papelaria
285,2025/08/12,,Mouse Gamer,4,200.0,Eletrônicos
286,2025-03-22,Fernanda Lima,Mochila,3,150.0,Acessórios
287,2025/02/11,Pedro Costa,Luminária,4,60.0,Utilidades
288,2025/06/11,Ana Pereira,Mouse Gamer,4,200.0,Eletrônicos
289,2025/12/02,Maria Silva,Monitor LG,1,1200.0,Eletrônicos
290,25-11-2025,Maria Silva,Caderno,5,25.0,Papelaria
291,2025/01/22,Maria Silva,Caderno,5,25.0,Papelaria
292,03-02-2025,Maria Silva,Caneta Azul,2,2.5,Papelaria
293,2025-06-16,Pedro Costa,Mouse Gamer,2,200.0,Eletrônicos
294,17-07-2025,Maria Silva,Impressora HP,4,900.0,Eletrônicos
295,03-04-2025,,Caneta Azul,5,2.5,Papelaria
296,2025-07-26,Pedro Costa,Notebook Dell,5,3500.0,Eletrônicos
297,12-07-2025,Fernanda Lima,Caderno,1,25.0,Papelaria
298,19-05-2025,Pedro Costa,Mouse Gamer,3,200.0,Eletrônicos
299,01-05-2025,Fernanda Lima,Impressora HP,3,900.0,Eletrônicos
300,2025-12-20,,Impressora HP,1,900.0,Eletrônicos
301,2025-03-03,Fernanda Lima,Mochila,5,150.0,Acessórios
302,2025/06/17,,iPhone 13,2,5500.0,Eletrônicos
303,2025/06/13,Pedro Costa,Garrafa Térmica,3,80.0,Utilidades
304,2025-01-28,,Impressora HP,4,900.0,Eletrônicos
305,2025-08-24,,Caneta Azul,3,2.5,Papelaria
306,28-03-2025,,Mouse Gamer,1,200.0,Eletrônicos
307,07-04-2025,João Souza,Luminária,5,60.0,Utilidades
308,2025-10-03,Ana Pereira,Notebook Dell,5,3500.0,Eletrônicos
309,2025-10-04,,Caderno,1,25.0,Papelaria
310,26-04-2025,Ana Pereira,Luminária,2,60.0,Utilidades
311,2025-06-21,Ana Pereira,Monitor LG,5,1200.0,Eletrônicos
312,2025/02/14,Maria Silva,Mochila,1,150.0,Acessórios
313,2025-04-16,Pedro Costa,iPhone 13,3,5500.0,Eletrônicos
314,09-10-2025,Maria Silva,Caderno,5,25.0,Papelaria
315,2025/11/19,Fernanda Lima,Impressora HP,3,900.0,Eletrônicos
316,2025-11-11,Fernanda Lima,Garrafa Térmica,3,80.0,Utilidades
317,13-09-2025,Pedro Costa,Caneta Azul,3,2.5,Papelaria
318,2025-10-10,,Mouse Gamer,2,200.0,Eletrônicos
319,2025/11/03,Pedro Costa,Luminária,1,60.0,Utilidades
320,26-03-2025,,Garrafa Térmica,5,80.0,Utilidades
321,05-09-2025,João Souza,Impressora HP,5,900.0,Eletrônicos
322,19-10-2025,Pedro Costa,Impressora HP,4,900.0,Eletrônicos
323,2025/04/02,Pedro Costa,Mouse Gamer,3,200.0,Eletrônicos
324,03-06-2025,João Souza,Caderno,1,25.0,Papelaria
325,01-03-2025,João Souza,Mouse Gamer,1,200.0,Eletrônicos
326,2025-01-23,Fernanda Lima,Garrafa Térmica,2,80.0,Utilidades
327,2025/04/06,Maria Silva,Caderno,3,25.0,Papelaria
328,23-03-2025,Maria Silva,Luminária,1,60.0,Utilidades
329,06-12-2025,Maria Silva,Caderno,5,25.0,Papelaria
330,22-10-2025,Fernanda Lima,Impressora HP,2,900.0,Eletrônicos
331,2025/08/14,Ana Pereira,Impressora HP,5,900.0,Eletrônicos
332,2025-03-05,,Garrafa Térmica,2,80.0,Utilidades
333,2025-10-19,João Souza,Monitor LG,4,1200.0,Eletrônicos
334,2025-04-11,João Souza,Caderno,5,25.0,Papelaria
335,2025-01-21,Ana Pereira,Notebook Dell,4,3500.0,Eletrônicos
336,2025/03/20,Pedro Costa,Monitor LG,5,1200.0,Eletrônicos
337,20-11-2025,Fernanda Lima,Caneta Azul,3,2.5,Papelaria
338,2025/05/19,João Souza,Notebook Dell,2,3500.0,Eletrônicos
339,2025-01-18,Ana Pereira,Luminária,4,60.0,Utilidades
340,2025/01/26,,Mouse Gamer,3,200.0,Eletrônicos
341,2025/10/22,Fernanda Lima,Mochila,3,150.0,Acessórios
342,2025-03-08,Ana Pereira,Monitor LG,5,1200.0,Eletrônicos
343,2025/10/03,João Souza,Caderno,3,25.0,Papelaria
344,23-08-2025,João Souza,Caneta Azul,5,2.5,Papelaria
345,2025-12-06,Maria Silva,Impressora HP,1,900.0,Eletrônicos
346,2025-12-26,,Luminária,5,60.0,Utilidades
347,2025-05-10,,Monitor LG,5,1200.0,Eletrônicos
348,03-11-2025,Fernanda Lima,Caderno,4,25.0,Papelaria
349,2025/04/15,João Souza,Monitor LG,1,1200.0,Eletrônicos
350,2025/11/20,Ana Pereira,Caderno,5,25.0,Papelaria
351,27-07-2025,Fernanda Lima,Monitor LG,5,1200.0,Eletrônicos
352,2025/04/17,Ana Pereira,Caderno,2,25.0,Papelaria
353,2025-08-14,Ana Pereira,iPhone 13,3,5500.0,Eletrônicos
354,2025/08/14,Pedro Costa,Impressora HP,três,900.0,Eletrônicos
355,2025-03-05,Maria Silva,Impressora HP,4,900.0,Eletrônicos
356,18-03-2025,Fernanda Lima,Luminária,1,60.0,Utilidades
357,05-01-2025,Maria Silva,Impressora HP,4,900.0,Eletrônicos
358,11-02-2025,Fernanda Lima,Garrafa Térmica,2,80.0,Utilidades
359,14-05-2025,Pedro Costa,iPhone 13,5,-5500.0,Eletrônicos
360,2025/10/27,Pedro Costa,Mouse Gamer,5,200.0,Eletrônicos
361,2025-03-02,João Souza,Luminária,5,-60.0,Utilidades
362,2025-08-23,Pedro Costa,Notebook Dell,3,3500.0,Eletrônicos
363,2025-02-21,Fernanda Lima,Caderno,4,25.0,Papelaria
364,10-12-2025,Pedro Costa,Garrafa Térmica,2,80.0,Utilidades
365,18-10-2025,,Luminária,5,60.0,Utilidades
366,2025-04-16,João Souza,Monitor LG,2,1200.0,Eletrônicos
367,2025-04-05,Ana Pereira,Caderno,2,25.0,Papelaria
368,2025/03/02,Fernanda Lima,Caderno,2,25.0,Papelaria
369,25-01-2025,,Luminária,2,60.0,Utilidades
370,2025-01-12,Pedro Costa,iPhone 13,3,5500.0,Eletrônicos
371,2025/01/25,Ana Pereira,Impressora HP,5,900.0,Eletrônicos
372,2025-10-21,,Caneta Azul,2,2.5,Papelaria
373,10-10-2025,Fernanda Lima,Caneta Azul,2,2.5,Papelaria
374,2025/02/20,Ana Pereira,Caneta Azul,2,2.5,Papelaria
375,2025/08/09,Pedro Costa,iPhone 13,2,5500.0,Eletrônicos
376,02-06-2025,João Souza,Mouse Gamer,2,200.0,Eletrônicos
377,27-05-2025,Ana Pereira,Caderno,2,25.0,Papelaria
378,2025-02-24,Ana Pereira,Caderno,1,-25.0,Papelaria
379,08-12-2025,Fernanda Lima,Impressora HP,2,900.0,Eletrônicos
380,2025/11/22,João Souza,Notebook Dell,1,3500.0,Eletrônicos
381,18-07-2025,,Mochila,2,150.0,Acessórios
382,2025/07/12,Maria Silva,Luminária,5,60.0,Utilidades
383,2025-07-10,,Mouse Gamer,3,200.0,Eletrônicos
384,2025/05/03,Pedro Costa,Mouse Gamer,5,200.0,Eletrônicos
385,20-09-2025,Fernanda Lima,Mouse Gamer,2,200.0,Eletrônicos
386,2025-10-16,Fernanda Lima,Monitor LG,3,1200.0,Eletrônicos
387,2025/01/10,Ana Pereira,Mouse Gamer,3,200.0,Eletrônicos
388,13-10-2025,Pedro Costa,Mochila,3,150.0,Acessórios
389,2025-04-12,Maria Silva,Mochila,5,150.0,Acessórios
390,14-02-2025,Maria Silva,Garrafa Térmica,5,80.0,Utilidades
391,2025/08/23,Pedro Costa,Caderno,2,25.0,Papelaria
392,21-02-2025,Fernanda Lima,Mouse Gamer,3,200.0,Eletrônicos
